userid	粉丝数
26	13639
833	60948
1128	23608
1630	11189
1774	89389
1812	19682
6862	14925
7597	65171
9989	35864
10780	262597
12207	46623
12662	21835
13719	17082
17003	126883
17606	11750
17711	11552
18755	197490
33926	24331
34016	11076
34776	33018
35414	69804
35515	33667
35788	40355
37377	10255
38713	37955
39269	51164
41688	14218
44445	41828
47391	58040
48568	115190
50109	25654
50887	30760
51813	37678
54148	53478
57886	11450
61386	18370
68734	17341
69844	36699
70108	32447
70543	43067
70583	33522
71306	38531
72052	10085
72715	14004
75790	16958
76445	89082
82720	46556
83843	12134
86035	22366
87341	11229
87737	11730
88069	702776
88994	150754
90754	12461
93416	1008363
94277	56023
96193	67106
100397	65676
107824	38750
108130	22138
114418	12581
118662	11388
118895	10680
119883	12412
119903	30104
120590	49572
121884	10638
122176	34345
123685	53853
123775	23883
124332	17220
125064	10690
125475	105014
125937	11081
126000	42875
127475	10537
128929	11703
129176	12316
130316	18431
132835	17663
133661	21069
133937	20306
135834	16579
140284	18232
141175	24825
146200	21176
146609	11493
148378	27523
156644	10825
159295	23129
168010	122089
171138	13784
172522	11699
177082	36554
177673	54054
182474	52949
183516	2670803
184405	32506
185110	58613
187111	14952
187705	827200
189205	12322
190062	11017
191384	44552
192145	10897
193668	10518
194595	58176
196254	344664
196740	21870
201690	11391
203841	14797
205340	12679
207125	27540
207820	13910
210790	12389
215647	10767
218000	30580
218531	124083
228515	17507
230168	345553
230756	16692
231203	54896
232207	12179
243671	118304
243831	35243
246635	17949
249492	99186
255699	11700
262470	14592
267098	10774
268187	93193
268949	10291
269473	81729
273771	29056
274098	31952
275288	80093
275390	23522
277025	31824
283778	17768
286063	57485
287381	11836
289027	11624
289061	10787
289188	47228
292476	21636
293295	17046
298810	46737
301891	17561
305692	10554
308122	30730
311321	11495
314289	18792
324316	809800
325563	25414
326679	12969
328339	10317
328631	11311
330448	126043
334413	14585
337477	65234
337680	55904
344156	34371
347674	15119
349055	21673
352591	112720
353158	11889
353171	15644
363249	88746
364960	13467
367110	16856
370898	1986058
371201	1563267
371742	24373
378648	13024
385109	11564
385649	16293
386356	15990
388164	12621
392850	80280
394133	14211
394339	12748
394515	10301
396128	60341
399876	154131
403997	13463
412976	82324
414313	28092
419808	55605
422172	41856
423040	18244
427679	14316
430028	15926
431642	15828
435990	20649
436963	69008
439675	16181
440286	10480
442264	17103
442300	47728
444880	17745
445009	135791
445837	30356
447637	22770
450826	54420
451225	21178
454572	23126
457441	21998
459717	43875
461270	11998
461329	16078
462036	23703
462891	201031
466943	27521
467968	28920
469089	106126
469103	49668
480996	78311
482488	14218
484717	11043
488384	10250
488478	14082
491071	67704
491476	17327
497079	13123
497641	15621
501317	26302
502770	23627
503554	12785
506849	49524
511179	12362
512810	52863
516664	37475
517840	30289
527962	178915
528638	16008
530649	159374
530742	19120
534389	256958
535495	16876
542777	62555
544535	76400
544621	19840
552518	14745
552767	42011
555206	43022
557886	84616
561584	41716
562378	385748
562418	32135
562836	14352
564166	14719
569289	10975
569751	10354
570864	10524
570952	13678
574614	10683
576730	220397
576858	21248
577628	13612
583451	46982
584765	128511
586303	11267
587307	13995
594994	14274
596366	18528
605253	19106
605297	13042
606466	11904
606831	55170
609395	10915
611989	10264
614246	10708
614328	10778
614622	25213
617433	24618
617556	10539
618373	63211
622899	52954
623842	24403
625193	36426
628670	12525
629126	27196
629777	13613
632834	16585
633818	114619
635704	14919
639709	26273
642696	24947
642868	24340
644300	23723
645195	13821
