userid	fannums
833	61061
1128	23627
1630	11207
1774	35929
1812	19711
6862	14961
7597	65369
9989	36064
10780	262614
12207	47510
12662	21917
13719	16987
17003	125419
17606	11779
17711	11605
18755	198155
21919	17974
33926	24122
34016	11014
34776	33121
35414	36980
35515	33636
35788	37727
37377	10319
38713	38301
39269	49810
41688	14362
44445	41933
47391	58045
48340	21639
48568	114947
50109	25733
50887	31252
51813	37719
54148	53690
57886	11531
61386	18431
63144	19815
68734	17405
69844	36943
70108	32539
70403	11696
70543	43500
70583	33631
71306	38157
72715	14056
75790	17028
76445	87770
82720	46625
83843	11796
86035	22371
87341	11248
87737	11586
88069	704465
88994	152079
90754	12543
93416	961880
94277	56156
96193	67371
100397	56377
107824	36703
108130	22202
114418	11575
118662	11386
118895	10786
119883	11247
119903	30055
120590	49762
122176	34329
123685	54030
123775	23664
124332	17247
125064	10685
125475	105009
125937	11080
126000	42929
127475	10100
128929	11683
129176	12394
130316	18484
132835	17793
133661	20947
133937	20731
135834	13440
140284	18317
141175	24870
146200	21250
146609	11530
148378	27823
156644	10868
159295	23225
168010	121963
171138	13860
172522	11187
177082	36324
177673	54086
182474	52958
183516	2631982
184405	32577
185110	58032
187111	14954
187705	819049
189205	12186
190062	11027
191384	36413
192145	10896
193668	10520
194595	58366
196254	323594
196740	21521
203841	14743
207125	27542
207820	13736
210790	12409
215647	10852
218000	30167
218531	124295
228515	16359
230168	342671
230756	16998
231203	54905
232207	12263
243671	117603
243831	35318
246635	18020
249492	99773
255699	11509
262470	14593
267098	10814
268187	93286
268949	10074
269473	81560
273498	15528
273771	29478
274098	32156
275288	57624
275390	23628
277025	32112
283778	17846
286063	57522
287381	11943
289027	11725
289061	10871
289188	47774
292476	21585
293295	17122
298810	39259
301891	17562
305692	10555
308122	30770
311321	11496
324316	813139
325563	25755
326679	13079
328339	10340
330448	125589
334413	14277
337477	65512
337680	55903
344156	34472
347674	15142
349055	21621
352591	113676
353158	11775
353171	15601
363249	89215
364960	12718
367110	16908
370898	1909125
371201	1444467
371742	24534
378648	12846
385109	11595
385649	16419
386356	16055
388164	12791
392850	81184
394133	14257
394339	12756
394515	10144
396128	61319
399876	155267
403997	13530
412976	71031
414313	28460
419808	55628
422172	41948
423040	17794
427679	14363
430028	15794
431642	15881
435990	20803
436963	52457
439675	16276
440286	10478
442264	16901
442300	46398
444880	17669
445009	136263
445837	30540
447637	22922
450826	54437
451225	21351
454572	23121
457441	22120
459717	44406
461270	11998
461329	16073
462036	23448
462891	188938
466943	27734
467968	29055
469089	106133
469103	49905
480996	78763
482488	14289
484717	11117
488384	10253
488478	14086
491071	67429
491476	17132
497079	13121
497641	15426
501317	23361
502770	23831
503554	11673
506849	49756
511179	12405
512810	53220
516664	37487
517840	30654
527962	180570
528638	16050
530649	160620
530742	19236
534389	253157
535495	16676
542777	62574
544535	76900
544621	19996
552518	14718
552767	42108
555206	43188
557886	84952
561584	41719
562378	376627
562418	31508
